text,label
hi,greeting
hello,greeting
hey,greeting
hello brother,greeting
how are you,greeting
hey bro,greeting
namaste,greeting
hello friend,greeting
hi buddy,greeting
what is going on,greeting
what's up buddy,greeting
bye,greeting
bye bro,greeting
see you,greeting
okay bye,greeting
,
what is the placement rate of the college,placement_drive
what is the placement rate,placement_drive
when will placements start,placement_drive
what is the campus placement update,placement_drive
when will companies visit the college,placement_drive
how to prepare for placements,placement_drive
are there internship opportunities,placement_drive
is placement training provided,placement_drive
what is the highest package offered,placement_drive
where is the placement cell,placement_drive
when are campus drives conducted,placement_drive
what is the eligibility for placements,placement_drive
,
when to pay college fees,college_fees
college fees structure,college_fees
how can we pay college fees,college_fees
what is the college fees,college_fees
what is the fee structure,college_fees
when should fees be paid,college_fees
is there a late fee fine,college_fees
can we pay fees online,college_fees
can we pay fees in installments,college_fees
what is the fee refund policy,college_fees
what is the semester fee,college_fees
where can I get the fee receipt,college_fees
give me college fee details,college_fees
,
when to fill exam form,exam_form
what is the last date for exam form,exam_form
when will form filling start,exam_form
how to register for exams,exam_form
when to fill backlog form,exam_form
when will re exam form open,exam_form
where to fill exam form,exam_form
how to apply for exams,exam_form
what is the last date to submit form,exam_form
what is exam form fee,exam_form
what is the last day to fill exam form,exam_form
last date to fill exam form,exam_form
when will re exam form open,exam_form
re exam form fees,exam_form
,
result date,result_date
third year result date,result_date
when will open day start,result_date
when will result be declared,result_date
when will result come,result_date
what is the exam result date,result_date
when will results be released,result_date
when will marks be available,result_date
how to check result,result_date
when will SPPU result be declared,result_date
what is the result website link,result_date
why is result delayed,result_date
when will marksheet be available,result_date
what is the result update,result_date
,
minimum attendance required,attendance_criteria
attendance criteria,attendance_criteria
is 75 percent attendance compulsory,attendance_criteria
will low attendance stop exam eligibility,attendance_criteria
how much attendance is required,attendance_criteria
what is minimum attendance criteria,attendance_criteria
what happens if attendance is low,attendance_criteria
what to do if attendance is short,attendance_criteria
is 75 percent attendance compulsory,attendance_criteria
what are attendance rules,attendance_criteria
how is attendance calculated,attendance_criteria
does bunking reduce attendance,attendance_criteria
can we give exam with low attendance,attendance_criteria
what is college attendance policy,attendance_criteria
,
when is the fest,campus_events
when is the college event,campus_events
what is the cultural fest date,campus_events
what are upcoming college events,campus_events
when is annual fest,campus_events
when is tech fest,campus_events
what is the next event in college,campus_events
how to register for events,campus_events
how to participate in fest,campus_events
give me college fest details,campus_events
when will swartarang start,campus_events
swartarang dates,campus_events
when will days start,campus_events
when is prexis held,campus_events
what happens in innoveda,campus_events
when is traditional day,campus_events
,
where can I find syllabus,syllabus
how to download subject syllabus,syllabus
give me second year IT syllabus,syllabus
what is the course syllabus link,syllabus
where can I get syllabus PDF,syllabus
what is latest syllabus update,syllabus
need subject wise syllabus,syllabus
where to download syllabus,syllabus
what is the source of college syllabus,syllabus
give syllabus details,syllabus
where can we get college syllabus,syllabus
where to get third year syllabus,syllabus
where to get second year syllabus,syllabus
where to get first year syllabus,syllabus
where to get full syllabus,syllabus
pccoe syllabus,syllabus
,
how are hostel facilities,hostel_facilities
when will hostel allotment happen,hostel_facilities
how does room sharing work in hostel,hostel_facilities
what is hostel fees,hostel_facilities
is wifi available in hostel,hostel_facilities
what are hostel rules,hostel_facilities
what is hostel room size,hostel_facilities
is girls hostel available,hostel_facilities
is mess included in hostel,hostel_facilities
how is hostel environment,hostel_facilities
how many people stay in one room,hostel_facilities
what facilities are available in hostel,hostel_facilities
girls hostel restrictions,hostel_facilities
hostel food timings,hostel_facilities
girls hostel details,hostel_facilities
boys hostel details,hostel_facilities
,
how is mess food,mess
what is todays mess menu,mess
what are mess timings,mess
which is best canteen,mess
is mess food good,mess
are veg and non veg options available,mess
is mess compulsory,mess
where can I find mess menu,mess
what are canteen timings,mess
what are mess charges,mess
where is veg food available,mess
where is non veg food available,mess
is mess compulsory,mess
is canteen food good,mess
where is canteen,mess
